URL in opinion,CL address,Timetravel URL,Case name,Date opinion was filed,Opinion download URL,Citation count,CL ID
http://www.gw2k.com/corpinfo/press/1996/,http://courtlistener.org/opinion/118061/denver-area-ed-telecommunications-consortium-inc-v/,http://timetravel.mementoweb.org/list/19960628151530/http://www.gw2k.com/corpinfo/press/1996/,"Denver Area Ed. Telecommunications Consortium, Inc. v. FCC",1996-06-28,None,85,118061
http://www.usatoday.com/life/cyber/bonus/cb006.htm,http://courtlistener.org/opinion/118061/denver-area-ed-telecommunications-consortium-inc-v/,http://timetravel.mementoweb.org/list/19960628151530/http://www.usatoday.com/life/cyber/bonus/cb006.htm,"Denver Area Ed. Telecommunications Consortium, Inc. v. FCC",1996-06-28,None,85,118061
http://www.kfu.com/~pl...om_the_bell_tolls.html).</p><p>[9],http://courtlistener.org/opinion/118144/washington-v-glucksberg/,http://timetravel.mementoweb.org/list/19970626151530/http://www.kfu.com/~pl...om_the_bell_tolls.html).</p><p>[9],Washington v. Glucksberg,1997-06-26,None,664,118144
http://us.imdb.com/,http://courtlistener.org/opinion/118224/muscarello-v-united-states/,http://timetravel.mementoweb.org/list/19980608151530/http://us.imdb.com/,Muscarello v. United States,1998-06-08,None,364,118224
http://www.geocities.com/Hollywood/8915/,http://courtlistener.org/opinion/118224/muscarello-v-united-states/,http://timetravel.mementoweb.org/list/19980608151530/http://www.geocities.com/Hollywood/8915/,Muscarello v. United States,1998-06-08,None,364,118224
http://www.census.gov/pub/govs/apes/97stus.txt.</p><p>[41],http://courtlistener.org/opinion/118318/alden-v-maine/,http://timetravel.mementoweb.org/list/19990623151530/http://www.census.gov/pub/govs/apes/97stus.txt.</p><p>[41],Alden v. Maine,1999-06-23,None,383,118318
http://www.courtinfo.ca.gov/forms/,http://courtlistener.org/opinion/118339/roe-v-flores-ortega/,http://timetravel.mementoweb.org/list/20000223151530/http://www.courtinfo.ca.gov/forms/,Roe v. Flores-Ortega,2000-02-23,None,808,118339
http://www.pap.,http://courtlistener.org/opinion/118351/garner-v-jones/,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.,Garner v. Jones,2000-04-18,None,174,118351
http://www.pap.state.ga.us/pr,http://courtlistener.org/opinion/118351/garner-v-jones/,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.state.ga.us/pr,Garner v. Jones,2000-04-18,None,174,118351
http://www.pap.state.ga.us/,http://courtlistener.org/opinion/118351/garner-v-jones/,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.state.ga.us/,Garner v. Jones,2000-04-18,None,174,118351
http://www.eurunion.org/partner/summit/Summit9912/,http://courtlistener.org/opinion/118379/crosby-v-national-foreign-trade-council/,http://timetravel.mementoweb.org/list/20000619151530/http://www.eurunion.org/partner/summit/Summit9912/,Crosby v. National Foreign Trade Council,2000-06-19,None,311,118379
http://www.ncsc.dni.us/divisions/research/csp/,http://courtlistener.org/opinion/118381/apprendi-v-new-jersey/,http://timetravel.mementoweb.org/list/20000626151530/http://www.ncsc.dni.us/divisions/research/csp/,Apprendi v. New Jersey,2000-06-26,None,10580,118381
http://primary98.ss.ca.gov/Final/Official,http://courtlistener.org/opinion/118382/california-democratic-party-v-jones/,http://timetravel.mementoweb.org/list/20000626151530/http://primary98.ss.ca.gov/Final/Official,California Democratic Party v. Jones,2000-06-26,None,74,118382
http://www.ss.ca.gov/elections/elections,http://courtlistener.org/opinion/118382/california-democratic-party-v-jones/,http://timetravel.mementoweb.org/list/20000626151530/http://www.ss.ca.gov/elections/elections,California Democratic Party v. Jones,2000-06-26,None,74,118382
http://www.adr.org/education/education/,http://courtlistener.org/opinion/118394/green-tree-financial-corp-ala-v-randolph/,http://timetravel.mementoweb.org/list/20001211151530/http://www.adr.org/education/education/,Green Tree Financial Corp.-Ala. v. Randolph,2000-12-11,None,581,118394
http://www.ohnd.uscourts.gov/,http://courtlistener.org/opinion/118436/becker-v-montgomery/,http://timetravel.mementoweb.org/list/20010604151530/http://www.ohnd.uscourts.gov/,Becker v. Montgomery,2001-06-04,None,68,118436
http://herndon1.sdrdc.com/,http://courtlistener.org/opinion/118456/federal-election-commn-v-colorado-republican-feder/,http://timetravel.mementoweb.org/list/20010625151530/http://herndon1.sdrdc.com/,Federal Election Comm'n v. Colorado Republican Federal Campaign Comm.,2001-06-25,None,64,118456
http://herndon1.sdrdc.com/cgi-bin/,http://courtlistener.org/opinion/118456/federal-election-commn-v-colorado-republican-feder/,http://timetravel.mementoweb.org/list/20010625151530/http://herndon1.sdrdc.com/cgi-bin/,Federal Election Comm'n v. Colorado Republican Federal Campaign Comm.,2001-06-25,None,64,118456
http://herndon1.sdrdc.com/cgi-bin/com,http://courtlistener.org/opinion/118456/federal-election-commn-v-colorado-republican-feder/,http://timetravel.mementoweb.org/list/20010625151530/http://herndon1.sdrdc.com/cgi-bin/com,Federal Election Comm'n v. Colorado Republican Federal Campaign Comm.,2001-06-25,None,64,118456
http://www.naag.org.,http://courtlistener.org/opinion/118458/lorillard-tobacco-co-v-reilly/,http://timetravel.mementoweb.org/list/20010628151530/http://www.naag.org.,Lorillard Tobacco Co. v. Reilly,2001-06-28,None,164,118458
