URL in opinion,Timetravel URL,Rot,Archive,Archive Source,CL address,Case name,Date opinion was filed,Opinion download URL,Citation count,CL ID,Link rot,Ref rot
http://www.gw2k.com/corpinfo/press/1996/,http://timetravel.mementoweb.org/list/19960628151530/http://www.gw2k.com/corpinfo/press/1996/,,1,1,http://courtlistener.org/opinion/118061/denver-area-ed-telecommunications-consortium-inc-v/,"Denver Area Ed. Telecommunications Consortium, Inc. v. FCC",6/28/96,None,85,118061,0,s404
http://www.usatoday.com/life/cyber/bonus/cb006.htm,http://timetravel.mementoweb.org/list/19960628151530/http://www.usatoday.com/life/cyber/bonus/cb006.htm,,0,,http://courtlistener.org/opinion/118061/denver-area-ed-telecommunications-consortium-inc-v/,"Denver Area Ed. Telecommunications Consortium, Inc. v. FCC",6/28/96,None,85,118061,0,0
http://www.kfu.com/~pl...om_the_bell_tolls.html,http://timetravel.mementoweb.org/list/19970626151530/http://www.kfu.com/,,1,1,http://courtlistener.org/opinion/118144/washington-v-glucksberg/,Washington v. Glucksberg,6/26/97,None,664,118144,0,s404
http://us.imdb.com/M/search_quotes?for=carry ,http://timetravel.mementoweb.org/list/19980608151530/http://us.imdb.com/,,1,"1, 3, 7, 4",http://courtlistener.org/opinion/118224/muscarello-v-united-states/,Muscarello v. United States,6/8/98,None,364,118224,0,s404
http://www.geocities.com/Hollywood/8915/,http://timetravel.mementoweb.org/list/19980608151530/http://www.geocities.com/Hollywood/8915/,,1,1,http://courtlistener.org/opinion/118224/muscarello-v-united-states/,Muscarello v. United States,6/8/98,None,364,118224,0,s404
http://www.census.gov/pub/govs/apes/97stus.txt,http://timetravel.mementoweb.org/list/19990623151530/http://www.census.gov/pub/govs/apes/97stus.txt,,0,,http://courtlistener.org/opinion/118318/alden-v-maine/,Alden v. Maine,6/23/99,None,383,118318,0,s404
http://www.courtinfo.ca.gov/forms/documents/cr120.pdf,http://timetravel.mementoweb.org/list/20000223151530/http://www.courtinfo.ca.gov/cgi,,1,1,http://courtlistener.org/opinion/118339/roe-v-flores-ortega/,Roe v. Flores-Ortega,2/23/00,None,808,118339,0,0
http://www.pap.state.ga.us/pr98.html ,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.state.ga.us/pr98.html,,0,,http://courtlistener.org/opinion/118351/garner-v-jones/,Garner v. Jones,4/18/00,None,174,118351,1,0
http://www.pap.state.ga.us/pr99.html,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.state.ga.us/pr99.html,,0,,http://courtlistener.org/opinion/118351/garner-v-jones/,Garner v. Jones,4/18/00,None,174,118351,1,0
http://www.pap.state.ga.us/Decisions.htm,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.state.ga.us/Decisions.htm,,1,1,http://courtlistener.org/opinion/118351/garner-v-jones/,Garner v. Jones,4/18/00,None,174,118351,1,0
http://www.eurunion.org/partner/summit/Summit9912/SLGRept.html,http://timetravel.mementoweb.org/list/20000619151530/http://www.eurunion.org/partner/summit/Summit9912/SLGRept.html,,1,1,http://courtlistener.org/opinion/118379/crosby-v-national-foreign-trade-council/,Crosby v. National Foreign Trade Council,6/19/00,None,311,118379,0,s404
http://www.ncsc.dni.us/divisions/research/csp/csp98-fscf.html,http://timetravel.mementoweb.org/list/20000626151530/http://www.ncsc.dni.us/divisions/research/csp/csp98-fscf.html,,1,"1, 4",http://courtlistener.org/opinion/118381/apprendi-v-new-jersey/,Apprendi v. New Jersey,6/26/00,None,10580,118381,0,s404
http://primary98.ss.ca.gov/Final/Official_Results.htm,http://timetravel.mementoweb.org/list/20000626151530/http://primary98.ss.ca.gov/Final/Official_Results.htm,,1,1,http://courtlistener.org/opinion/118382/california-democratic-party-v-jones/,California Democratic Party v. Jones,6/26/00,None,74,118382,0,0
http://www.ss.ca.gov/elections/elections_u.htm,http://timetravel.mementoweb.org/list/20000626151530/http://www.ss.ca.gov/elections/elections_u.htm,,1,"1, 4",http://courtlistener.org/opinion/118382/california-democratic-party-v-jones/,California Democratic Party v. Jones,6/26/00,None,74,118382,0,s404
http://www.adr.org/education/education/consumer_protocol.html,http://timetravel.mementoweb.org/list/20001211151530/http://www.adr.org/education/education/consumer_protocol.html,,1,1,http://courtlistener.org/opinion/118394/green-tree-financial-corp-ala-v-randolph/,Green Tree Financial Corp.-Ala. v. Randolph,12/11/00,None,581,118394,1,0
http://www.ohnd.uscourts.gov/Electronic_Filing/user.pdf,http://timetravel.mementoweb.org/list/20010604151530/http://www.ohnd.uscourts.gov/Electronic_Filing/user.pdf,,1,"1, 2",http://courtlistener.org/opinion/118436/becker-v-montgomery/,Becker v. Montgomery,6/4/01,None,68,118436,0,s404
http://herndon1.sdrdc.com/cgi-bin/com_supopp/C00339291,http://timetravel.mementoweb.org/list/20010625151530/http://herndon1.sdrdc.com/cgi-bin/com_supopp/C00339291,,0,,http://courtlistener.org/opinion/118456/federal-election-commn-v-colorado-republican-feder/,Federal Election Comm'n v. Colorado Republican Federal Campaign Comm.,6/25/01,None,64,118456,1,0
http://herndon1.sdrdc.com/cgi-bin/com_supopp/C00089136,http://timetravel.mementoweb.org/list/20010625151530/http://herndon1.sdrdc.com/cgi-bin/com_supopp/C00089136,,0,,http://courtlistener.org/opinion/118456/federal-election-commn-v-colorado-republican-feder/,Federal Election Comm'n v. Colorado Republican Federal Campaign Comm.,6/25/01,None,64,118456,1,0
http://herndon1.sdrdc.com/cgi-bin/com_supopp/C00000422,http://timetravel.mementoweb.org/list/20010625151530/http://herndon1.sdrdc.com/cgi-bin/com_supopp/C00000422,,0,,http://courtlistener.org/opinion/118456/federal-election-commn-v-colorado-republican-feder/,Federal Election Comm'n v. Colorado Republican Federal Campaign Comm.,6/25/01,None,64,118456,1,0
http://herndon1.sdrdc.com/cgi-bin/com_supopp/C00024521,http://timetravel.mementoweb.org/list/20010625151530/http://herndon1.sdrdc.com/cgi-bin/com_supopp/C00024521,,0,,http://courtlistener.org/opinion/118456/federal-election-commn-v-colorado-republican-feder/,Federal Election Comm'n v. Colorado Republican Federal Campaign Comm.,6/25/01,None,64,118456,1,0
