URL in opinion,Timetravel URL,Rot,Archive,Archive Source,CL address,Case name,Date opinion was filed,Opinion download URL,Citation count,CL ID,Link rot,Ref rot,IP owner handle,IP owner name,HTTP status code
http://www.gw2k.com/corpinfo/press/1996/,http://timetravel.mementoweb.org/list/19960628151530/http://www.gw2k.com/corpinfo/press/1996/,,1,IA,http://courtlistener.org/opinion/118061/denver-area-ed-telecommunications-consortium-inc-v/,"Denver Area Ed. Telecommunications Consortium, Inc. v. FCC",6/28/96,None,85,118061,0,s404,Couldn't find IP owner's handle.,Couldn't find IP owner's name.,200
http://www.usatoday.com/life/cyber/bonus/cb006.htm,http://timetravel.mementoweb.org/list/19960628151530/http://www.usatoday.com/life/cyber/bonus/cb006.htm,,0,,http://courtlistener.org/opinion/118061/denver-area-ed-telecommunications-consortium-inc-v/,"Denver Area Ed. Telecommunications Consortium, Inc. v. FCC",6/28/96,None,85,118061,0,0,NTTAM-1,"NTT America, Inc.",200
http://www.kfu.com/~pl...om_the_bell_tolls.html,http://timetravel.mementoweb.org/list/19970626151530/http://www.kfu.com/,,1,IA,http://courtlistener.org/opinion/118144/washington-v-glucksberg/,Washington v. Glucksberg,6/26/97,None,664,118144,0,s404,TRANQ,"Tranquil Hosting, Inc.",404
http://us.imdb.com/M/search_quotes?for=carry ,http://timetravel.mementoweb.org/list/19980608151530/http://us.imdb.com/,,1,"IA, Archive-It, UK Web Archive, archive.today",http://courtlistener.org/opinion/118224/muscarello-v-united-states/,Muscarello v. United States,6/8/98,None,364,118224,0,s404,AMAZON-4,"Amazon.com, Inc.",404
http://www.geocities.com/Hollywood/8915/,http://timetravel.mementoweb.org/list/19980608151530/http://www.geocities.com/Hollywood/8915/,,1,IA,http://courtlistener.org/opinion/118224/muscarello-v-united-states/,Muscarello v. United States,6/8/98,None,364,118224,0,s404,YHOO,Yahoo! Inc.,200
http://www.census.gov/pub/govs/apes/97stus.txt,http://timetravel.mementoweb.org/list/19990623151530/http://www.census.gov/pub/govs/apes/97stus.txt,,0,,http://courtlistener.org/opinion/118318/alden-v-maine/,Alden v. Maine,6/23/99,None,383,118318,0,s404,AKAMAI,"Akamai Technologies, Inc.",404
http://www.courtinfo.ca.gov/forms/documents/cr120.pdf,http://timetravel.mementoweb.org/list/20000223151530/http://www.courtinfo.ca.gov/cgi,,1,IA,http://courtlistener.org/opinion/118339/roe-v-flores-ortega/,Roe v. Flores-Ortega,2/23/00,None,808,118339,0,0,SERVEP,"GoGrid, LLC",200
http://www.pap.state.ga.us/pr98.html ,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.state.ga.us/pr98.html,,0,,http://courtlistener.org/opinion/118351/garner-v-jones/,Garner v. Jones,4/18/00,None,174,118351,1,0,SGD,Georgia Technology Authority,404
http://www.pap.state.ga.us/pr99.html,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.state.ga.us/pr99.html,,0,,http://courtlistener.org/opinion/118351/garner-v-jones/,Garner v. Jones,4/18/00,None,174,118351,1,0,SGD,Georgia Technology Authority,404
http://www.pap.state.ga.us/Decisions.htm,http://timetravel.mementoweb.org/list/20000418151530/http://www.pap.state.ga.us/Decisions.htm,,1,IA,http://courtlistener.org/opinion/118351/garner-v-jones/,Garner v. Jones,4/18/00,None,174,118351,1,0,SGD,Georgia Technology Authority,404
